Date,Symbol,Company,Open,DayHigh,DayLow,LastPrice,PreviousClose,Change,PChange,Volume
2025-11-15,BEL,BELEQN,418.8,428.7,418.7,426.5,419.8,6.7,1.6,14719899.0
2025-11-15,AXISBANK,AXISBANKEQN,1224.0,1246.0,1222.0,1244.4,1225.2,19.2,1.57,5197740.0
2025-11-15,TRENT,TRENTEQN,4335.0,4399.9,4327.0,4392.0,4326.4,65.6,1.52,808967.0
2025-11-15,SBIN,SBINEQN,952.95,969.05,952.0,967.95,954.0,13.95,1.46,11032927.0
2025-11-15,ADANIENT,ADANIENTEQN,2500.0,2553.7,2481.0,2524.1,2488.2,35.9,1.44,4496233.0
2025-11-15,JIOFIN,JIOFINEQN,311.0,315.7,309.3,315.0,310.7,4.3,1.38,13675540.0
2025-11-15,ONGC,ONGCEQN,245.5,249.65,245.1,247.5,250.85,2.65,1.08,9185042.0
2025-11-15,BAJFINANCE,BAJFINANCEEQN,1004.9,1019.9,1002.6,1016.1,1005.4,10.7,1.06,4381122.0
2025-11-15,ADANIPORTS,ADANIPORTSEQN,1500.0,1523.6,1497.0,1514.6,1499.0,15.6,1.04,2345593.0
2025-11-15,SUNPHARMA,SUNPHARMAEQN,1737.4,1760.1,1734.7,1755.0,1737.4,17.6,1.01,1667322.0
2025-11-15,DRREDDY,DRREDDYEQN,1235.2,1249.0,1231.8,1246.9,1234.9,12.0,0.97,827643.0
2025-11-15,COALINDIA,COALINDIAEQN,383.2,387.35,382.3,386.75,383.2,3.55,0.93,3760163.0
2025-11-15,ASIANPAINT,ASIANPAINTEQN,2865.1,2909.9,2862.0,2902.0,2879.4,22.6,0.78,2494076.0
2025-11-15,HINDUNILVR,HINDUNILVREQN,2405.1,2430.2,2392.0,2426.0,2407.6,18.4,0.76,975973.0
2025-11-15,ITC,ITCEQN,404.7,408.75,400.1,408.25,405.7,2.55,0.63,64020258.0
2025-11-15,SBILIFE,SBILIFEEQN,1982.6,2003.9,1977.8,2000.0,1987.9,12.1,0.61,678599.0
2025-11-15,NTPC,NTPCEQN,327.0,329.9,326.2,328.85,326.95,1.9,0.58,9169855.0
2025-11-15,RELIANCE,RELIANCEEQN,1505.5,1520.9,1505.5,1518.2,1510.9,7.3,0.48,7682823.0
2025-11-15,BAJAJFINSV,BAJAJFINSVEQN,2050.0,2072.0,2044.2,2064.9,2056.2,8.7,0.42,1433249.0
2025-11-15,CIPLA,CIPLAEQN,1526.9,1534.4,1522.0,1532.0,1525.8,6.2,0.41,810970.0
2025-11-15,POWERGRID,POWERGRIDEQN,270.35,272.3,269.5,270.9,269.85,1.05,0.39,10308317.0
2025-11-15,KOTAKBANK,KOTAKBANKEQN,2066.0,2085.5,2063.0,2082.8,2075.2,7.6,0.37,2440551.0
2025-11-15,MAXHEALTH,MAXHEALTHEQN,1093.7,1106.4,1085.3,1101.9,1098.0,3.9,0.36,1658556.0
2025-11-15,HDFCBANK,HDFCBANKEQN,976.05,991.65,976.05,989.0,986.65,2.35,0.24,21386965.0
2025-11-15,BHARTIARTL,BHARTIARTLEQN,2090.0,2107.9,2081.9,2096.8,2091.8,5.0,0.24,6312655.0
2025-11-15,TCS,TCSEQN,3090.0,3113.1,3077.3,3112.0,3105.7,6.3,0.2,2210794.0
2025-11-15,LT,LTEQN,4002.0,4011.5,3971.6,4004.0,4002.5,1.5,0.04,1916910.0
2025-11-15,GRASIM,GRASIMEQN,2777.2,2790.0,2761.0,2778.6,2777.8,0.8,0.03,510972.0
2025-11-15,TATACONSUM,TATACONSUMEQN,1149.0,1163.6,1146.8,1155.0,1154.8,0.2,0.02,1832598.0
2025-11-15,M&M,M&MEQN,3700.0,3716.8,3660.5,3698.0,3699.5,-1.5,-0.04,1847028.0
2025-11-15,WIPRO,WIPROEQN,243.92,245.9,242.15,245.15,245.33,-0.18,-0.07,6841554.0
2025-11-15,HCLTECH,HCLTECHEQN,1590.0,1598.0,1574.1,1596.9,1598.5,-1.6,-0.1,2543918.0
2025-11-15,INDIGO,INDIGOEQN,5900.0,5935.0,5864.0,5895.0,5905.5,-10.5,-0.18,643970.0
2025-11-15,BAJAJ-AUTO,BAJAJ-AUTOEQN,8867.5,8867.5,8781.5,8845.0,8867.5,-22.5,-0.25,550371.0
2025-11-15,MARUTI,MARUTIEQN,15725.0,15735.0,15572.0,15708.0,15749.0,-41.0,-0.26,253698.0
2025-11-15,APOLLOHOSP,APOLLOHOSPEQN,7440.0,7467.0,7375.0,7419.0,7440.5,-21.5,-0.29,218565.0
2025-11-15,NESTLEIND,NESTLEINDEQN,1275.2,1279.0,1262.4,1269.7,1275.2,-5.5,-0.43,675047.0
